EndDate,RecordedDate,StartDate
End Date,Recorded Date,Start Date
"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}"
2021-04-08 01:31:41,2021-04-08 01:31:42,2021-04-07 20:38:57
2021-04-08 01:41:28,2021-04-08 01:41:29,2021-04-08 00:41:57
2021-04-08 02:32:30,2021-04-08 02:32:31,2021-04-08 01:22:18
2021-04-01 03:12:10,2021-04-08 03:12:14,2021-04-01 02:58:57
2021-04-08 03:19:32,2021-04-08 03:19:33,2021-04-07 07:46:33
2021-04-01 03:34:50,2021-04-08 03:34:51,2021-04-01 03:27:57
2021-04-01 05:38:46,2021-04-08 05:38:51,2021-04-01 05:37:06
2021-04-01 05:50:51,2021-04-08 05:50:52,2021-04-01 05:36:53
2021-04-01 05:59:52,2021-04-08 05:59:58,2021-04-01 05:58:50
2021-04-01 06:16:00,2021-04-08 06:16:01,2021-04-01 05:39:01
2021-04-01 07:24:46,2021-04-08 07:24:49,2021-04-01 06:26:02
2021-04-01 07:32:29,2021-04-08 07:32:29,2021-04-01 07:00:36
2021-04-08 08:20:21,2021-04-08 08:20:22,2021-04-07 22:32:51
2021-04-08 08:40:25,2021-04-08 08:40:26,2021-04-07 18:41:21
2021-04-08 10:38:34,2021-04-08 10:38:36,2021-04-07 19:10:41
2021-04-08 11:02:34,2021-04-08 11:02:35,2021-04-08 09:56:47
2021-04-08 11:16:30,2021-04-08 11:16:31,2021-04-08 10:04:50
2021-04-08 11:45:22,2021-04-08 11:45:23,2021-04-08 11:11:29
2021-04-08 11:46:32,2021-04-08 11:46:32,2021-04-07 18:30:01
2021-04-01 11:56:26,2021-04-08 11:56:29,2021-04-01 11:19:10
2021-04-08 13:29:48,2021-04-08 13:29:49,2021-04-08 12:13:25
2021-04-08 13:38:27,2021-04-08 13:38:29,2021-04-08 12:50:57
2021-04-08 13:56:40,2021-04-08 13:56:40,2021-04-08 13:03:30
2021-04-08 15:07:48,2021-04-08 15:07:49,2021-04-07 19:58:06
2021-04-01 17:03:32,2021-04-08 17:03:36,2021-04-01 17:02:30
2021-04-08 17:36:34,2021-04-08 17:36:35,2021-04-08 16:05:12
2021-04-08 18:30:04,2021-04-08 18:30:05,2021-04-08 17:31:56
2021-04-08 19:39:09,2021-04-08 19:39:10,2021-04-07 19:13:11
2021-04-08 20:28:23,2021-04-08 20:28:24,2021-04-06 19:48:30
2021-04-08 20:38:34,2021-04-08 20:38:35,2021-04-08 19:32:24
2021-04-08 22:19:45,2021-04-08 22:19:46,2021-04-08 21:14:32
2021-04-08 22:31:26,2021-04-08 22:31:26,2021-04-08 20:51:19
2021-04-08 22:37:34,2021-04-08 22:37:34,2021-04-08 20:40:03
2021-04-09 03:38:05,2021-04-09 03:38:06,2021-04-09 02:25:00
2021-04-09 03:50:15,2021-04-09 03:50:15,2021-04-09 03:08:02
2021-04-09 03:57:15,2021-04-09 03:57:17,2021-04-08 23:18:00
2021-04-09 04:07:00,2021-04-09 04:07:00,2021-04-09 03:21:54
2021-04-09 12:05:41,2021-04-09 12:05:42,2021-04-09 00:25:31
2021-04-09 16:30:21,2021-04-09 16:30:29,2021-04-09 15:10:18
2021-04-09 18:52:02,2021-04-09 18:52:03,2021-04-09 17:50:35
2021-04-09 23:39:30,2021-04-09 23:39:31,2021-04-09 22:12:44
2021-04-10 00:05:11,2021-04-10 00:05:12,2021-04-07 19:38:08
2021-04-10 13:53:03,2021-04-10 13:53:05,2021-04-08 23:32:59
2021-04-10 15:52:00,2021-04-10 15:52:01,2021-04-10 15:16:18
2021-04-10 19:19:13,2021-04-10 19:19:14,2021-04-07 18:51:06
2021-04-11 14:24:42,2021-04-11 14:24:43,2021-04-08 15:42:13
2021-04-11 15:44:31,2021-04-11 15:44:32,2021-04-08 19:12:04
2021-04-11 19:48:09,2021-04-11 19:48:10,2021-04-11 18:26:31
2021-04-11 21:32:56,2021-04-11 21:32:57,2021-04-11 20:35:31
2021-04-11 23:18:12,2021-04-11 23:18:12,2021-04-11 21:44:38
