,time_of_day,dob,student_status,RC_1,RC_2,RC_3,RC_4,RC_5,Diff_timing,Diff_found,Diff_found_list,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,Pattern_1,Liar_check,group,RC_score,Diff_score,M_score,Pattern_score,Liar_score,Big_liar_score,nighttime,Score
96,19,2001,Undergraduate Student,1,0,0,0,0,63.98,5,"crane, monster left",1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,dark_mode,0.25,0.3333333333333333,0.375,0,0.5,1,False,0.23958333333333331
97,20,2001,Undergraduate Student,0,0,0,1,1,65.011,6,"ball, ball, rocket, tongue, corner, ",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,dark_mode,0.25,0.4,0.875,0,1.0,1,True,0.38125
99,18,2002,Undergraduate Student,0,1,0,0,0,65.011,8,"circle, ton",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,dark_mode,0.25,0.5333333333333333,0.1875,1,0.5,1,False,0.4927083333333333
100,21,2001,Undergraduate Student,1,1,1,0,1,65.015,1,"bubbles, ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dark_mode,1.0,0.06666666666666667,0.0,0,0.5,1,True,0.26666666666666666
101,20,2001,Undergraduate Student,1,1,1,0,0,105.164,4,"claw, lever,heart, lizard, taco, rocket, ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,dark_mode,0.75,0.26666666666666666,0.0625,1,0.5,1,True,0.5197916666666667
102,22,2001,Undergraduate Student,0,1,1,0,0,127.14,8,"circles(2), rocket, tongue, light, x, dots(2), u ",1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,dark_mode,0.5,0.5333333333333333,0.6875,1,0.5,1,True,0.6802083333333333
104,19,1999,Undergraduate Student,0,1,0,0,1,65.013,3,"star, robot, heart",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,dark_mode,0.5,0.2,0.9375,1,0.5,1,False,0.659375
105,22,2000,Undergraduate Student,1,1,1,1,0,87.623,5,blobs,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,dark_mode,0.75,0.3333333333333333,0.4375,1,1.0,1,True,0.6302083333333333
106,23,2000,Undergraduate Student,1,1,1,0,0,130.123,7,"scales, heart, rocket, lizard, earth, pencil, claw",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,dark_mode,0.75,0.4666666666666667,0.8125,0,0.5,1,True,0.5072916666666667
107,0,2000,Undergraduate Student,1,1,0,0,1,65.012,4,"front stick missing circle in bottom left, ",0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,dark_mode,0.75,0.26666666666666666,0.375,1,0.5,1,True,0.5979166666666667
